Decimal,Binary,Hex,Control Function,Value,Used As
0,0,0,Bank Select,0-127,MSB
1,1,1,Modulation Wheel or Lever,0-127,MSB
2,10,2,Breath Controller,0-127,MSB
3,11,3,Undefined,0-127,MSB
4,100,4,Foot Controller,0-127,MSB
5,101,5,Portamento Time,0-127,MSB
6,110,6,Data Entry MSB,0-127,MSB
7,111,7,Channel Volume,0-127,MSB
8,1000,8,Balance,0-127,MSB
9,1001,9,Undefined,0-127,MSB
10,1010,0A,Pan,0-127,MSB
11,1011,0B,Expression Controller,0-127,MSB
12,1100,0C,Effect Control 1,0-127,MSB
13,1101,0D,Effect Control 2,0-127,MSB
14,1110,0E,Undefined,0-127,MSB
15,1111,0F,Undefined,0-127,MSB
16,10000,10,General Purpose Controller 1,0-127,MSB
17,10001,11,General Purpose Controller 2,0-127,MSB
18,10010,12,General Purpose Controller 3,0-127,MSB
19,10011,13,General Purpose Controller 4,0-127,MSB
20,10100,14,Undefined,0-127,MSB
21,10101,15,Undefined,0-127,MSB
22,10110,16,Undefined,0-127,MSB
23,10111,17,Undefined,0-127,MSB
24,11000,18,Undefined,0-127,MSB
25,11001,19,Undefined,0-127,MSB
26,11010,1A,Undefined,0-127,MSB
27,11011,1B,Undefined,0-127,MSB
28,11100,1C,Undefined,0-127,MSB
29,11101,1D,Undefined,0-127,MSB
30,11110,1E,Undefined,0-127,MSB
31,11111,1F,Undefined,0-127,MSB
32,100000,20,LSB for Control 0 (Bank Select),0-127,LSB
33,100001,21,LSB for Control 1 (Modulation Wheel or Lever),0-127,LSB
34,100010,22,LSB for Control 2 (Breath Controller),0-127,LSB
35,100011,23,LSB for Control 3 (Undefined),0-127,LSB
36,100100,24,LSB for Control 4 (Foot Controller),0-127,LSB
37,100101,25,LSB for Control 5 (Portamento Time),0-127,LSB
38,100110,26,LSB for Control 6 (Data Entry),0-127,LSB
39,100111,27,"LSB for Control 7 (Channel Volume)",0-127,LSB
40,101000,28,LSB for Control 8 (Balance),0-127,LSB
41,101001,29,LSB for Control 9 (Undefined),0-127,LSB
42,101010,2A,LSB for Control 10 (Pan),0-127,LSB
43,101011,2B,LSB for Control 11 (Expression Controller),0-127,LSB
44,101100,2C,LSB for Control 12 (Effect control 1),0-127,LSB
45,101101,2D,LSB for Control 13 (Effect control 2),0-127,LSB
46,101110,2E,LSB for Control 14 (Undefined),0-127,LSB
47,101111,2F,LSB for Control 15 (Undefined),0-127,LSB
48,110000,30,LSB for Control 16 (General Purpose Controller 1),0-127,LSB
49,110001,31,LSB for Control 17 (General Purpose Controller 2),0-127,LSB
50,110010,32,LSB for Control 18 (General Purpose Controller 3),0-127,LSB
51,110011,33,LSB for Control 19 (General Purpose Controller 4),0-127,LSB
52,110100,34,LSB for Control 20 (Undefined),0-127,LSB
53,110101,35,LSB for Control 21 (Undefined),0-127,LSB
54,110110,36,LSB for Control 22 (Undefined),0-127,LSB
55,110111,37,LSB for Control 23 (Undefined),0-127,LSB
56,111000,38,LSB for Control 24 (Undefined),0-127,LSB
57,111001,39,LSB for Control 25 (Undefined),0-127,LSB
58,111010,3A,LSB for Control 26 (Undefined),0-127,LSB
59,111011,3B,LSB for Control 27 (Undefined),0-127,LSB
